item_name,description,category,price,colour,shop_name,new_category
sepatu sneakers,sepatu sneakers adalah pilihan yang sempurna untuk gaya kasual anda. didesain dengan detail modern dan kenyamanan maksimal.,sepatu,100000,putih,home essentials,sepatu
tas ransel stylish,tas ransel stylish memberikan gaya dan fungsi yang sempurna. terbuat dari bahan berkualitas dan dilengkapi dengan banyak kantong.,tas,200000,merah,sports world,tas
kemeja flanel modern,kemeja flanel modern memberikan tampilan yang trendy dan nyaman. cocok untuk berbagai kesempatan dan mudah dipadukan.,kemeja,150000,hijau,gourmet delights,pakaian
celana jeans slim fit,celana jeans slim fit adalah pilihan yang tepat untuk penampilan yang kasual namun tetap stylish. terbuat dari bahan denim berkualitas.,celana,250000,biru,gadget hub,pakaian
topi fedora elegan,topi fedora elegan memberikan sentuhan klasik yang tak lekang oleh waktu. cocok untuk melengkapi gaya retro atau modern.,topi,50000,abu-abu,gourmet delights,jam & aksesoris
kacamata retro vintage,kacamata retro vintage menambahkan gaya yang unik dan klasik pada penampilan anda. terbuat dari bahan berkualitas tinggi.,kacamata,80000,cokelat,outdoor gear,jam & aksesoris
jam tangan mewah,jam tangan mewah adalah aksesori yang sempurna untuk menunjukkan keanggunan dan kecanggihan. didesain dengan detail yang memukau.,jam tangan,300000,emas,home essentials,jam & aksesoris
dompet kulit asli,dompet kulit asli memberikan gaya dan fungsi yang tak tertandingi. terbuat dari kulit asli berkualitas tinggi.,dompet,70000,cokelat,toy universe,jam & aksesoris
perhiasan emas murni,perhiasan emas murni adalah simbol kemewahan dan keindahan. terbuat dari emas murni dengan desain yang elegan.,perhiasan,500000,emas,fashion outlet,jam & aksesoris
parfum wangi floral,parfum wangi floral memberikan aroma yang segar dan feminin. diciptakan dengan komposisi bunga-bungaan yang indah.,parfum,120000,merah,shoe emporium,jam & aksesoris
gelang fashion trendy,gelang fashion trendy memberikan sentuhan gaya yang modern dan berkelas pada pergelangan tangan anda. didesain dengan detail yang menarik.,gelang,90000,hitam,fashion house,jam & aksesoris
baju renang sporty,baju renang sporty memberikan kenyamanan dan gaya yang tak terbantahkan di kolam renang. terbuat dari bahan berkualitas dan tahan lama.,baju renang,60000,biru,fashion outlet,pakaian
topi baseball classic,topi baseball classic adalah aksesori yang sempurna untuk melengkapi penampilan santai anda. terbuat dari bahan berkualitas dan nyaman dipakai.,topi,40000,merah,music gallery,jam & aksesoris
kacamata hitam stylish,kacamata hitam stylish memberikan perlindungan mata yang maksimal sambil tetap tampil modis. didesain dengan gaya yang trendy.,kacamata,70000,hitam,outdoor gear,jam & aksesoris
jam dinding klasik vintage,jam dinding klasik vintage memberikan sentuhan retro yang elegan pada ruangan anda. didesain dengan detail yang memukau.,jam dinding,200000,kuning,health corner,jam & aksesoris
tas selempang chic,tas selempang chic memberikan kenyamanan dan gaya yang tak tertandingi. didesain dengan kompartemen yang cukup luas untuk keperluan sehari-hari.,tas,150000,cokelat,kids kingdom,tas
celana panjang casual,celana panjang casual adalah pilihan yang nyaman dan stylish untuk berbagai kesempatan. terbuat dari bahan berkualitas dan mudah dipadukan.,celana,80000,abu-abu,pet shop,pakaian
kaos polos basic,kaos polos basic adalah item yang wajib dimiliki dalam koleksi pakaian anda. cocok untuk gaya santai atau bisa juga dipadukan dengan aksesori.,kaos,30000,putih,sports world,pakaian
baju koko modern,baju koko modern memberikan tampilan yang elegan dan klasik. cocok untuk berbagai kesempatan formal.,baju koko,100000,hijau,tech zone,pakaian
sepatu formal elegan,sepatu formal elegan memberikan tampilan yang anggun dan berkelas pada setiap acara formal. didesain dengan detail yang sempurna.,sepatu,180000,hitam,food paradise,sepatu
tas makeup portable,tas makeup portable memudahkan anda membawa dan menyimpan berbagai perlengkapan makeup dengan praktis. didesain dengan kompartemen yang fungsional.,tas makeup,300000,merah,outdoor gear,tas
jas pria slim fit,jas pria slim fit memberikan tampilan yang modern dan berkelas pada setiap acara formal. didesain dengan detail yang elegan.,jas,250000,biru,kids kingdom,pakaian
kalung mutiara mewah,kalung mutiara mewah adalah aksesori yang mewah dan mempesona. terbuat dari mutiara asli dengan desain yang elegan.,kalung,350000,putih,food paradise,jam & aksesoris
pashmina syar'i terbaru,pashmina syar'i terbaru memberikan gaya yang modis dan elegan untuk penampilan hijab anda. terbuat dari bahan yang nyaman dan mudah diatur.,pashmina,150000,merah,fashion house,jam & aksesoris
topi trucker trendy,topi trucker trendy menambahkan sentuhan gaya yang sporty pada penampilan anda. cocok untuk gaya kasual atau acara santai.,topi,60000,abu-abu,jewelry emporium,jam & aksesoris
dompet kartu minimalis,dompet kartu minimalis memberikan kemudahan dan gaya yang minimalis. terbuat dari bahan berkualitas tinggi.,dompet kartu,50000,hitam,outdoor gear,jam & aksesoris
anting emas cantik,anting emas cantik memberikan sentuhan feminin dan elegan pada penampilan anda. terbuat dari emas dengan desain yang indah.,anting,90000,emas,gift emporium,jam & aksesoris
lipstik matte long-lasting,lipstik matte long-lasting memberikan hasil akhir matte yang tahan lama. dapat memberikan sentuhan warna yang intens dan merona.,lipstik,40000,merah,home essentials,jam & aksesoris
sepatu high heels glamor,sepatu high heels glamor memberikan ketinggian dan gaya yang anggun pada penampilan anda. didesain dengan detail yang memikat.,sepatu,50000,emas,gourmet delights,sepatu
jaket kulit stylish,jaket kulit stylish memberikan gaya yang cool dan trendi. terbuat dari kulit berkualitas tinggi dengan desain yang modern.,jaket,120000,cokelat,music gallery,pakaian
kemeja batik klasik,kemeja batik klasik memberikan tampilan yang khas dan berkelas. cocok untuk acara formal atau non-formal.,kemeja,200000,biru,gift emporium,pakaian
celana pendek denim,celana pendek denim memberikan gaya yang santai dan nyaman untuk cuaca hangat. terbuat dari bahan denim berkualitas tinggi.,celana,180000,biru,food paradise,pakaian
kaos sablon casual,kaos sablon casual memberikan gaya yang santai dan trendy untuk penampilan sehari-hari. didesain dengan motif yang menarik.,kaos,250000,putih,book haven,pakaian
tas laptop stylish,tas laptop stylish memberikan perlindungan dan gaya yang maksimal untuk laptop anda. terbuat dari bahan berkualitas dan dilengkapi dengan kompartemen yang aman.,tas laptop,80000,hitam,tech zone,tas
blazer wanita modern,blazer wanita modern memberikan tampilan yang profesional dan stylish. cocok untuk acara formal atau non-formal.,blazer,150000,merah,beauty boutique,pakaian
gelang berlian mewah,gelang berlian mewah memberikan kemewahan dan kilau yang mempesona. terbuat dari berlian asli dengan desain yang indah.,gelang,70000,merah,shoe emporium,jam & aksesoris
parfum pria maskulin,parfum pria maskulin memberikan aroma yang maskulin dan elegan. diciptakan dengan komposisi yang khas untuk pria modern.,parfum,90000,perak,gadget hub,jam & aksesoris
tas pesta glamor,tas pesta glamor memberikan gaya yang mewah dan glamor pada setiap acara pesta. didesain dengan detail yang memukau.,tas pesta,60000,hitam,home decor,tas
kalung choker trendy,kalung choker trendy memberikan sentuhan gaya yang edgy dan modern pada leher anda. cocok untuk melengkapi penampilan fashion-forward.,kalung,100000,emas,tech zone,jam & aksesoris
pashmina rajut stylish,pashmina rajut stylish memberikan gaya yang modis dan cozy pada penampilan hijab anda. terbuat dari bahan rajut berkualitas.,pashmina,40000,hitam,wellness center,jam & aksesoris
topi keren stylish,topi keren stylish memberikan sentuhan gaya yang cool dan trendy pada penampilan anda. didesain dengan detail yang menarik.,topi,70000,ungu,gourmet delights,jam & aksesoris
dompet wanita stylish,dompet wanita stylish memberikan gaya dan fungsi yang tak tertandingi. terbuat dari bahan berkualitas tinggi.,dompet,50000,biru,pet shop,jam & aksesoris
anting stud elegant,anting stud elegant memberikan sentuhan elegan dan klasik pada penampilan anda. didesain dengan desain yang timeless.,anting,80000,merah,home essentials,jam & aksesoris
lipstik glossy vibrant,lipstik glossy vibrant memberikan hasil akhir glossy yang memikat. dapat memberikan sentuhan warna yang hidup dan berkilau.,lipstik,100000,perak,beauty boutique,jam & aksesoris
sepatu boots trendy,sepatu boots trendy memberikan gaya yang trendi dan proteksi yang maksimal. didesain dengan detail yang stylish dan tahan lama.,sepatu,300000,merah,music gallery,sepatu
sweater rajut hangat,sweater rajut hangat memberikan kenyamanan dan gaya yang cozy. terbuat dari bahan rajut yang hangat dan lembut.,sweater,120000,cokelat,pet shop,pakaian
celana jogger casual,celana jogger casual memberikan gaya yang santai dan nyaman untuk aktivitas sehari-hari. terbuat dari bahan yang stretch dan mudah dipadukan.,celana,60000,abu-abu,health corner,pakaian
kemeja putih formal,kemeja putih formal memberikan tampilan yang klasik dan formal. cocok untuk berbagai kesempatan yang membutuhkan penampilan yang rapi.,kemeja,150000,hitam,game central,pakaian
tas selempang kulit,tas selempang kulit memberikan gaya yang stylish dan fungsional. terbuat dari kulit berkualitas dengan desain yang modern.,tas,250000,putih,kids kingdom,tas
perhiasan perak elegan,perhiasan perak elegan memberikan sentuhan elegan dan berkelas pada penampilan anda. terbuat dari perak dengan desain yang indah.,perhiasan,200000,cokelat,book haven,jam & aksesoris
sepatu sporty,sepatu sporty memberikan kenyamanan dan gaya yang tak terbantahkan saat berolahraga. terbuat dari bahan yang ringan dan nyaman dipakai.,sepatu,50000,perak,gadget hub,sepatu
rok mini trendy,rok mini trendy memberikan tampilan yang trendy dan playful. cocok untuk penampilan yang ceria dan fashion-forward.,rok,80000,hitam,fitness zone,pakaian
baju kaos grafis,baju kaos grafis memberikan gaya yang unik dan ekspresif pada penampilan anda. didesain dengan motif grafis yang menarik.,baju kaos,100000,merah,jewelry emporium,pakaian
topi snapback,topi snapback memberikan sentuhan gaya yang sporty dan casual pada penampilan anda. cocok untuk gaya streetwear atau olahraga.,topi,60000,abu-abu,beauty boutique,jam & aksesoris
dompet lipat stylish,dompet lipat stylish memberikan kemudahan dan gaya yang minimalis. terbuat dari bahan berkualitas tinggi.,dompet,40000,hitam,music gallery,jam & aksesoris
anting gantung unik,anting gantung unik memberikan sentuhan gaya yang unik dan artistik pada penampilan anda. didesain dengan desain yang kreatif.,anting,70000,hijau,beauty boutique,jam & aksesoris
lipstik satin matte,lipstik satin matte memberikan hasil akhir satin matte yang elegan. dapat memberikan sentuhan warna yang lembut dan tahan lama.,lipstik,90000,hitam,home decor,jam & aksesoris
sepatu loafer casual,sepatu loafer casual memberikan gaya yang santai dan nyaman pada penampilan anda. didesain dengan detail yang stylish.,sepatu,120000,merah,health corner,sepatu
celana chino slim fit,celana chino slim fit memberikan tampilan yang modern dan nyaman. terbuat dari bahan yang stretch dan mudah dipadukan.,celana,80000,multikolor,vintage treasures,pakaian
jas blazer slim fit,jas blazer slim fit memberikan tampilan yang elegan dan berkelas pada setiap acara formal. didesain dengan detail yang sempurna.,jas blazer,150000,merah,game central,pakaian
tas tote bag stylish,tas tote bag stylish memberikan gaya yang chic dan fungsional. terbuat dari bahan berkualitas tinggi dan dilengkapi dengan tali yang kuat.,tas,100000,hitam,artisan crafts,tas
gelang manik-manik,gelang manik-manik memberikan sentuhan gaya yang boho dan berwarna pada pergelangan tangan anda. didesain dengan detail yang menarik.,gelang,250000,putih,gift emporium,jam & aksesoris
parfum floral fruity,parfum floral fruity memberikan aroma yang segar dan manis. diciptakan dengan komposisi bunga dan buah yang lezat.,parfum,180000,abu-abu,fashion outlet,jam & aksesoris
sepatu sandal santai,sepatu sandal santai memberikan kenyamanan dan gaya yang tak terbantahkan untuk kegiatan santai. terbuat dari bahan yang nyaman dan ringan.,sepatu sandal,70000,hitam,fitness zone,sepatu
blouse wanita elegan,blouse wanita elegan memberikan tampilan yang feminin dan elegan. cocok untuk acara formal atau non-formal.,blouse,50000,merah,toy universe,pakaian
sweater hoodie sporty,sweater hoodie sporty memberikan kenyamanan dan gaya yang sporty. terbuat dari bahan yang hangat dan dilengkapi dengan hoodie.,sweater,150000,merah,wellness center,pakaian
celana legging nyaman,celana legging nyaman memberikan kenyamanan dan fleksibilitas saat digunakan. terbuat dari bahan yang stretch dan nyaman di kulit.,celana,200000,cokelat,book haven,pakaian
kemeja kotak-kotak,kemeja kotak-kotak memberikan tampilan yang klasik dan stylish. cocok untuk penampilan yang rapi namun tetap casual.,kemeja,90000,merah,game central,pakaian
tas sling bag trendy,tas sling bag trendy memberikan gaya yang trendi dan praktis. terbuat dari bahan berkualitas tinggi dengan desain yang modern.,tas,40000,hitam,pet shop,tas
gelang kulit asli,gelang kulit asli memberikan sentuhan gaya yang klasik dan alami pada pergelangan tangan anda. terbuat dari kulit asli yang tahan lama.,gelang,80000,merah,food paradise,jam & aksesoris
lipstik velvet matte,lipstik velvet matte memberikan hasil akhir matte yang lembut dan velvety. dapat memberikan sentuhan warna yang intens dan mewah.,lipstik,70000,abu-abu,game central,jam & aksesoris
sepatu running ringan,sepatu running ringan memberikan kenyamanan dan performa yang optimal saat berlari. terbuat dari bahan yang ringan dan responsif.,sepatu,120000,hitam,toy universe,sepatu
baju kebaya elegan,baju kebaya elegan memberikan tampilan yang anggun dan tradisional. cocok untuk acara formal atau tradisional.,baju kebaya,60000,emas,fitness zone,pakaian
topi beanie hangat,topi beanie hangat memberikan kenyamanan dan gaya yang hangat pada cuaca dingin. didesain dengan detail yang stylish.,topi,150000,hijau,vintage treasures,jam & aksesoris
dompet zipper minimalis,dompet zipper minimalis memberikan kemudahan dan gaya yang minimalis. terbuat dari bahan berkualitas tinggi dengan resleting yang kuat.,dompet,80000,hijau,gadget hub,jam & aksesoris
kalung liontin cantik,kalung liontin cantik memberikan sentuhan feminin dan elegan pada penampilan anda. didesain dengan desain yang manis dan berkilau.,kalung,100000,emas,artisan crafts,jam & aksesoris
celana cargo praktis,celana cargo praktis memberikan gaya yang praktis dan fungsional untuk kegiatan sehari-hari. terbuat dari bahan yang tahan lama.,celana,250000,cokelat,vintage treasures,pakaian
kaos polo pria,kaos polo pria memberikan tampilan yang kasual namun tetap rapi dan stylish. terbuat dari bahan berkualitas dan nyaman dipakai.,kaos polo,200000,cokelat,health corner,pakaian
tas clutch glamor,tas clutch glamor memberikan gaya yang mewah dan glamor pada setiap acara formal. didesain dengan detail yang memukau.,tas clutch,70000,hitam,toy universe,tas
gelang tangan vintage,gelang tangan vintage memberikan sentuhan retro dan klasik pada pergelangan tangan anda. didesain dengan detail yang indah.,gelang,150000,hitam,book haven,jam & aksesoris
parfum woody aromatic,parfum woody aromatic memberikan aroma yang hangat dan maskulin. diciptakan dengan komposisi kayu dan aroma aromatik yang khas.,parfum,60000,hitam,artisan crafts,jam & aksesoris
sepatu loafer formal,sepatu loafer formal memberikan tampilan yang anggun dan berkelas pada setiap acara formal. didesain dengan detail yang sempurna.,sepatu,120000,cokelat,artisan crafts,sepatu
rok midi trendy,rok midi trendy memberikan tampilan yang modern dan stylish. cocok untuk berbagai kesempatan formal atau non-formal.,rok,100000,merah,fashion outlet,pakaian
kacamata oversize stylish,kacamata oversize stylish memberikan gaya yang bold dan fashion-forward pada penampilan anda. didesain dengan desain yang statement.,kacamata,80000,biru,jewelry emporium,jam & aksesoris
tas backpack casual,tas backpack casual memberikan gaya yang casual dan fungsional. terbuat dari bahan yang tahan lama dan dilengkapi dengan banyak kantong.,tas,50000,putih,kids kingdom,tas
blouse peplum feminin,blouse peplum feminin memberikan tampilan yang feminin dan berkelas. cocok untuk acara formal atau non-formal.,blouse,70000,hitam,gift emporium,pakaian
celana jogger denim,celana jogger denim memberikan gaya yang trendi dan nyaman untuk aktivitas sehari-hari. terbuat dari bahan denim yang stretch dan ringan.,celana,200000,abu-abu,jewelry emporium,pakaian
kemeja putih polos,kemeja putih polos memberikan tampilan yang klasik dan universal. cocok untuk berbagai kesempatan dan mudah dipadukan dengan berbagai pakaian.,kemeja,150000,hitam,fashion house,pakaian
sepatu sneakers trendy,sepatu sneakers trendy memberikan gaya yang trendi dan nyaman untuk penampilan sehari-hari. terbuat dari bahan yang tahan lama dan dilengkapi dengan sol yang nyaman.,sepatu,90000,perak,shoe emporium,sepatu
topi bucket stylish,topi bucket stylish memberikan sentuhan gaya yang casual dan stylish pada penampilan anda. didesain dengan desain yang versatile.,topi,40000,emas,shoe emporium,jam & aksesoris
dompet lipat sederhana,dompet lipat sederhana memberikan kemudahan dan gaya yang sederhana. terbuat dari bahan berkualitas tinggi dengan desain yang minimalis.,dompet,80000,hitam,fitness zone,jam & aksesoris
anting hiasan unik,anting hiasan unik memberikan sentuhan gaya yang unik dan kreatif pada penampilan anda. didesain dengan desain yang out-of-the-box.,anting,150000,cokelat,tech zone,jam & aksesoris
lipstik metallic glamor,lipstik metallic glamor memberikan hasil akhir metallic yang memikat. dapat memberikan sentuhan warna yang berkilau dan glamor.,lipstik,100000,merah,home decor,jam & aksesoris
sepatu slip-on nyaman,sepatu slip-on nyaman memberikan kenyamanan dan kemudahan saat dipakai. terbuat dari bahan yang lembut dan elastis.,sepatu,250000,multikolor,home decor,sepatu
baju cardigan hangat,baju cardigan hangat memberikan kenyamanan dan gaya yang hangat pada cuaca yang sejuk. terbuat dari bahan yang lembut dan hangat.,baju cardigan,180000,hitam,fashion house,pakaian
tas crossbody chic,tas crossbody chic memberikan gaya yang chic dan praktis. terbuat dari bahan berkualitas tinggi dan dilengkapi dengan tali yang dapat disesuaikan.,tas,70000,putih,sports world,tas
gelang manik-manik etnik,gelang manik-manik etnik memberikan sentuhan gaya yang etnik dan colorful pada pergelangan tangan anda. didesain dengan detail yang artistik.,gelang,50000,hitam,sports world,jam & aksesoris
parfum musk sensual,parfum musk sensual memberikan aroma yang sensual dan memikat. diciptakan dengan komposisi musk yang khas dan menarik.,parfum,150000,cokelat,wellness center,jam & aksesoris
sweater rajut elegan,sweater rajut elegan memberikan kenyamanan dan gaya yang elegan. terbuat dari bahan rajut yang lembut dan dilengkapi dengan detail yang indah.,sweater,200000,merah,vintage treasures,pakaian
celana kulot modis,celana kulot modis memberikan tampilan yang modis dan nyaman. cocok untuk gaya kasual atau acara santai dengan sentuhan yang chic dan trendy,celana,90000,hitam,wellness center,pakaian
